region	chr	midPos	Nsites
(739,1621)(114333,115303)(100000,150000)	JASDQU010013361.1	125000	884	0.405875
(251,1169)(72179,78076)(50000,100000)	JASDQU010013423.1	75000	920	0.523142
(197,365)(499803,499999)(450000,500000)	JASDQU010013459.1	475000	170	0.404585
(769,1156)(56158,86745)(50000,100000)	JASDQU010013477.1	75000	389	0.762767
(1157,2469)(126969,145406)(100000,150000)	JASDQU010013477.1	125000	1314	0.084539
(2470,3639)(168482,199999)(150000,200000)	JASDQU010013477.1	175000	1171	0.033392
(977,1259)(106892,107440)(100000,150000)	JASDQU010013500.1	125000	284	0.463346
(122,320)(100000,126992)(100000,150000)	JASDQU010013504.1	125000	200	0.135893
(321,791)(293065,298035)(250000,300000)	JASDQU010013504.1	275000	472	0.166679
(317,389)(257734,257817)(250000,300000)	JASDQU010013546.1	275000	74	0.074781
(3247,3368)(94390,94530)(50000,100000)	JASDQU010013573.1	75000	123	0.130683
(351,450)(173967,174081)(150000,200000)	JASDQU010013607.1	175000	101	0.216822
(587,1448)(55276,89428)(50000,100000)	JASDQU010013629.1	75000	863	0.370634
(886,1997)(100325,103145)(100000,150000)	JASDQU010013654.1	125000	1113	0.178551
(253,2401)(184062,186940)(150000,200000)	JASDQU010013667.1	175000	2150	0.309014
(2615,3186)(148536,149119)(100000,150000)	JASDQU010013693.1	125000	573	0.208976
(413,1001)(86605,87466)(50000,100000)	JASDQU010013698.1	75000	590	0.020263
(3323,4112)(150000,150789)(150000,200000)	JASDQU010013719.1	175000	791	0.277533
(157,2618)(203494,206718)(200000,250000)	JASDQU010013720.1	225000	2463	0.474108
(630,851)(106840,107153)(100000,150000)	JASDQU010013735.1	125000	223	0.021752
(4221,4337)(152988,153108)(150000,200000)	JASDQU010013740.1	175000	118	0.048258
(552,667)(150000,150118)(150000,200000)	JASDQU010013749.1	175000	117	0.040740
(315,1610)(80737,82407)(50000,100000)	JASDQU010013788.1	75000	1297	0.625671
(401,4663)(330277,336643)(300000,350000)	JASDQU010013845.1	325000	4264	0.098670
(2847,4135)(100813,121097)(100000,150000)	JASDQU010013892.1	125000	1290	0.388040
(2395,7560)(63629,80601)(50000,100000)	JASDQU010013931.1	75000	5167	0.380555
(1108,1746)(52841,58325)(50000,100000)	JASDQU010013938.1	75000	640	0.042317
(1747,1902)(123207,123363)(100000,150000)	JASDQU010013938.1	125000	157	0.496336
(367,1946)(122897,124730)(100000,150000)	JASDQU010013956.1	125000	1581	0.726702
(109,784)(237193,237959)(200000,250000)	JASDQU010013969.1	225000	677	0.066117
(489,2562)(101686,108805)(100000,150000)	JASDQU010013986.1	125000	2075	0.268154
(427,1575)(69125,73555)(50000,100000)	JASDQU010013996.1	75000	1150	0.044177
(669,821)(149401,149575)(100000,150000)	JASDQU010014056.1	125000	154	0.051733
(822,941)(283836,284204)(250000,300000)	JASDQU010014056.1	275000	121	0.070765
(663,686)(127169,127199)(100000,150000)	JASDQU010014075.1	125000	25	0.112274
(687,969)(298072,298370)(250000,300000)	JASDQU010014075.1	275000	284	0.253952
(89,356)(62161,62492)(50000,100000)	JASDQU010014087.1	75000	269	0.506777
(3117,3553)(100000,100441)(100000,150000)	JASDQU010014116.1	125000	438	0.800304
(675,2544)(61639,94378)(50000,100000)	JASDQU010014129.1	75000	1871	0.296457
(2545,2951)(156699,157122)(150000,200000)	JASDQU010014129.1	175000	408	0.133214
(426,651)(54346,54661)(50000,100000)	JASDQU010014170.1	75000	227	0.118171
(305,928)(255865,256500)(250000,300000)	JASDQU010014184.1	275000	625	0.034760
(479,4322)(50000,62454)(50000,100000)	JASDQU010014202.1	75000	3845	0.288710
(30,289)(385152,391207)(350000,400000)	JASDQU010014226.1	375000	261	0.045076
(39,501)(100618,101104)(100000,150000)	JASDQU010014236.1	125000	464	0.551663
(502,1581)(281277,292206)(250000,300000)	JASDQU010014236.1	275000	1081	0.171696
(397,546)(217125,217337)(200000,250000)	JASDQU010014249.1	225000	151	0.145806
(1317,1420)(168235,168373)(150000,200000)	JASDQU010014294.1	175000	105	0.400606
(965,1546)(156853,159600)(150000,200000)	JASDQU010014329.1	175000	583	0.076700
(415,538)(50000,50124)(50000,100000)	JASDQU010014337.1	75000	125	-0.006048
(1999,2294)(201116,201729)(200000,250000)	JASDQU010014358.1	225000	297	0.124632
(597,1004)(84150,85276)(50000,100000)	JASDQU010014364.1	75000	409	0.080857
(1005,2231)(159400,160981)(150000,200000)	JASDQU010014364.1	175000	1228	0.467341
(2232,2340)(229711,229825)(200000,250000)	JASDQU010014364.1	225000	110	0.560101
(130,208)(179664,179750)(150000,200000)	JASDQU010014365.1	175000	80	0.140041
(431,2792)(106377,111732)(100000,150000)	JASDQU010014401.1	125000	2363	0.285882
(275,969)(65776,66475)(50000,100000)	JASDQU010014404.1	75000	696	0.800760
(22,4626)(108465,123944)(100000,150000)	JASDQU010014418.1	125000	4606	0.549206
(343,1855)(157578,178897)(150000,200000)	JASDQU010014452.1	175000	1514	0.014656
